epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.991,1.60209,2.97938,1.35308,0.4809,0.49518,0.47096,0.27355,1.50706,2.17988,1.30994,0.000475445,0.000475445,0.000475445
2,479.181,1.56705,2.09427,1.33003,0.47324,0.57625,0.45893,0.29104,1.37961,2.94669,1.33803,0.000932933,0.000932933,0.000932933
3,666.199,1.56972,1.94095,1.33702,0.56448,0.61721,0.6182,0.39305,1.35435,1.75259,1.30297,0.00137156,0.00137156,0.00137156
4,910.932,1.47732,1.76646,1.31846,0.68344,0.61479,0.65895,0.43175,1.33297,1.54796,1.28335,0.00134412,0.00134412,0.00134412
5,3225.5,1.42854,1.60968,1.28322,0.65504,0.57943,0.63202,0.40684,1.3593,1.99423,1.31217,0.00131582,0.00131582,0.00131582
6,3424.49,1.40131,1.58432,1.25732,0.66175,0.69564,0.71625,0.45715,1.30564,1.49943,1.26434,0.00128753,0.00128753,0.00128753
7,3609.4,1.39107,1.50068,1.26086,0.7242,0.70683,0.75508,0.52048,1.20693,1.27048,1.2049,0.00125923,0.00125923,0.00125923
8,3797.36,1.35222,1.45802,1.23814,0.75443,0.74043,0.77742,0.53297,1.23574,1.21054,1.24175,0.00123094,0.00123094,0.00123094
9,6064.69,1.3511,1.40047,1.23181,0.72539,0.71765,0.76119,0.52928,1.20632,1.24858,1.20741,0.00120265,0.00120265,0.00120265
10,6271.91,1.34142,1.37151,1.23792,0.78751,0.71745,0.79786,0.56944,1.16996,1.14433,1.1961,0.00117435,0.00117435,0.00117435
11,6498.03,1.31954,1.37863,1.22793,0.69936,0.73294,0.77064,0.55242,1.17935,1.2507,1.22008,0.00114606,0.00114606,0.00114606
12,6712.94,1.29019,1.32091,1.20374,0.78575,0.74364,0.80772,0.56981,1.15742,1.10577,1.18061,0.00111776,0.00111776,0.00111776
13,6930.57,1.27505,1.26923,1.19802,0.78008,0.77248,0.81792,0.57254,1.18434,1.0847,1.20267,0.00108947,0.00108947,0.00108947
14,7139.8,1.2819,1.24476,1.20799,0.7797,0.74854,0.81105,0.58601,1.15207,1.06984,1.20436,0.00106118,0.00106118,0.00106118
15,7366.18,1.28982,1.26612,1.20667,0.82366,0.7718,0.83087,0.5818,1.1468,1.10746,1.17988,0.00103288,0.00103288,0.00103288
16,7583.28,1.24651,1.22538,1.18792,0.74558,0.76868,0.79993,0.5732,1.14507,1.08771,1.1699,0.00100459,0.00100459,0.00100459
17,7826.72,1.20301,1.15313,1.17789,0.83592,0.77526,0.83112,0.59967,1.14133,1.02572,1.17276,0.000976293,0.000976293,0.000976293
18,8048.6,1.20554,1.16956,1.15554,0.79258,0.7494,0.80736,0.58918,1.10847,1.07097,1.14943,0.000947999,0.000947999,0.000947999
19,8263.65,1.22003,1.14168,1.16974,0.82891,0.78922,0.84486,0.60408,1.13431,0.98676,1.17763,0.000919704,0.000919704,0.000919704
20,8477.68,1.22192,1.13288,1.17988,0.81159,0.78552,0.83719,0.604,1.11194,0.97226,1.16827,0.00089141,0.00089141,0.00089141
21,8693.36,1.2012,1.11558,1.16043,0.82357,0.781,0.84291,0.60385,1.12859,0.97407,1.15232,0.000863116,0.000863116,0.000863116
